全宋诗：高
　　高翥　七夕
　　高翥　潜夫约中途遣诗相送至江山无耗寄诗督之
　　高翥　清明日对酒
　　高翥　清明日延平道上
　　高翥　清明日约宋正甫黄行之兄弟为东湖之集
　　高翥　清明日招社友
　　高翥　秋日入无量院
　　高翥　秋日三首
　　高翥　秋日田父辞二首
　　高翥　秋山散步
　　高翥　秋晚即事
　　高翥　秋兴
　　高翥　秋夜
　　高翥　秋夜书怀
　　高翥　秋阴
　　高翥　孺子祠堂
　　高翥　三峰废寺
　　高翥　三峡桥
　　高翥　僧房夜坐
　　高翥　山堂即事
　　高翥　山行即事
　　高翥　山行即事二首
　　高翥　山中哭复斋
　　高翥　赏心亭
　　高翥　舍侄来
　　高翥　首夏
　　高翥　戍妇吟二首
　　高翥　松溪庙
　　高翥　送别
　　高翥　送春
　　高翥　送刘允叔主簿归山中
　　高翥　宿囊山寺
　　高翥　岁除登岝崿山精舍
　　高翥　叹息
　　高翥　题二小姬扇二首
　　高翥　题信天巢集
　　高翥　天台曹园
　　高翥　天衣寺
　　高翥　天章寺
　　高翥　同刘潜夫登乌石山望海有怀方孚若柯东海栋复斋旧游
　　高翥　同周晋仙夜宿
　　高翥　投老
　　高翥　挽陈复斋
　　高翥　挽章朋举
　　高翥　晚春即事
　　高翥　乌镇普静寺寺沈休文故居也
　　高翥　无计
　　高翥　无题二首
　　高翥　无锡县春日
　　高翥　毋自欺斋夜宴
　　高翥　吴山绝句
　　高翥　西湖春雪
　　高翥　西湖二首
　　高翥　西湖暮归
　　高翥　西湖杂兴二首
　　高翥　喜杜仲高移居清湖
　　高翥　喜乡友来
　　高翥　下塘
　　高翥　闲居杂兴三首
　　高翥　小楼
　　高翥　小楼夜雨
　　高翥　小楼雨中
　　高翥　晓出黄山寺
　　高翥　晓行
　　高翥　行淮
　　高翥　兄寿弟
　　高翥　雪堂
　　高翥　岩桂花
　　高翥　杨花
　　高翥　夜步天街书所见
　　高翥　夜过马当山
　　高翥　夜过西兴
　　高翥　忆西湖
　　高翥　毅斋郑祠书道山领客
　　高翥　雨中
　　高翥　育王寺
　　高翥　郁孤台
　　高翥　元日
　　高翥　杂兴
　　高翥　杂兴二首
　　高翥　赠丁子植抚干
　　高翥　赠番易程克已
　　高翥　张氏曲江
　　高翥　赵忠定帅蜀时题雪锦楼有扁舟衡岳问归程之句后来人以为谶题跋者甚
　　高翥　赵仲庄都钤山居
　　高翥　重五日怀旧
　　高翥　重阳述怀
　　高翥　重游无量院
　　高翥　竹楼
　　高翥　自赋
　高子洪　龙池
　高祖之　右军祠堂






ÁÁÁÁÁÁÁÁÁÁ：doosho.com　1，2，3，4，5

ББББББББББ：doosho.com　1

ĆĆĆĆĆĆĆĆĆĆ：doosho.com　

ĎĎĎĎĎĎĎĎĎĎ：doosho.com　

ÊÊÊÊÊÊÊÊÊÊ：doosho.com　

♀♀♀♀♀♀♀♀♀♀：doosho.com　

ĞĞĞĞĞĞĞĞĞĞ：doosho.com　

ĤĤĤĤĤĤĤĤĤĤ：doosho.com　

ĨĨĨĨĨĨĨĨĨĨ：doosho.com　

ĴĴĴĴĴĴĴĴĴĴ：doosho.com　

ЌЌЌЌЌЌЌЌЌЌ：doosho.com　

ĹĹĹĹĹĹĹĹĹĹ：doosho.com　

♂♂♂♂♂♂♂♂♂♂：doosho.com　

ŃŃŃŃŃŃŃŃŃŃ：doosho.com　

ÓÓÓÓÓÓÓÓÓÓ：doosho.com　

φφφφφφφφφφ：doosho.com　

ℚℚℚℚℚℚℚℚℚℚ：doosho.com　

ŔŔŔŔŔŔŔŔŔŔ：doosho.com　

ŚŚŚŚŚŚŚŚŚŚ：doosho.com　

ŤŤŤŤŤŤŤŤŤŤ：doosho.com　

ÚÚÚÚÚÚÚÚÚÚ：doosho.com　

≚≚≚≚≚≚≚≚≚≚：doosho.com　

ŴŴŴŴŴŴŴŴŴŴ：doosho.com　

ϰϰϰϰϰϰϰϰϰϰ：doosho.com　

ÝÝÝÝÝÝÝÝÝÝ：doosho.com　

ŹŹŹŹŹŹŹŹŹŹ：doosho.com　




全宋诗：高




高安斋　晚梅

买得街头最晚梅，潇潇风雨对吟杯。

莫嫌吟蕊能稀少，不学春光烂熳开。

高伯易

高伯易　句

函颅谨勿为终策，天下英雄暗破颜。

高昌

高昌　登洪庆观河亭

霜旄行郡试寻幽，一曲围垣绕县周。

山色迎人来黛嵋，河声惊梦撼黄流。

禹门水迥乡关月，济庙烟连草树秋。

遥指天南嵩洛近，烟云何处望神州。

高达

高达　句

至今青霄人，犹是门下客。

高道华

高道华　章华台碑

故国兴亡数，勤民土木嘉。

废台称是楚，辨物愧非华。

高得心

高得心　林下读书

芸叶满床尘梦稀，空林对雨淡相依。

间身不与时荣谢，抱膝惟评古是非。

蕙帐风寒人未老，松门云静鹤初归。

青山紫阁原同道，肯羡宫袍耀布衣。

高登

高登　病中杂兴

溶溶瘴雾暗朝暾，咫尺山关号鬼门。

疾病年年不相贷，朱颜凋尽赤心存。

高登

高登　病中杂兴

垂老飘零万里余，肌肤瘦尽鬓毛疏。

皇恩若许归山去，豆地虽存不解锄。

高登

高登　病中杂兴

不羡云霄欲网罗，百年人物总相磨。

死如归耳生如寄，造物从今奈我何。

高登

高登　病中杂兴

九死穷荒一病翁，晓来犹怯北窗风。

谁知葵藿倾心切，待到日轮升太空。

高登

高登　病中杂兴

不辞南北叹飘零，俯仰乾坤一草亭。

鸢堕水中从沓沓，鸿飞天外自冥冥。

高登

高登　病中杂兴

长袖深藏批敕手，短筇斜倚作诗肩。

有时极目愧辽汉，兴在孤鸿落照边。

高登

高登　病中杂兴

